,Date,Ship_Type,Route_Type,Engine_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Draft_meters,Weather_Condition,Cargo_Weight_tons,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours,Efficiency_nm_per_kWh,Seasonal_Impact_Score,Weekly_Voyage_Count,Average_Load_Percentage,PCA_Cluster
11,2023-08-20,Tanker,Transoceanic,Heavy Fuel Oil (HFO),Fair,23.390060531308944,1852.7994039298885,1522.8128965983626,11.36537613066814,Rough,1613.5630674562356,204411.82819743743,418315.02129564265,44.44213419781531,1.3556397137195595,0.781473903920841,6,64.75464120629965,0
12,2023-08-27,Container Ship,Long-haul,Steam Turbine,Good,15.874848645916394,2591.211006937157,1619.1623688588056,9.761003442896206,Calm,1587.3098852371545,64829.49625539572,120241.95727232056,56.92464862695757,1.2382799379426097,0.8223566482722485,7,67.33795503898574,0
13,2023-09-03,Container Ship,Long-haul,Heavy Fuel Oil (HFO),Critical,14.182325043954332,611.9113370273916,1434.8133563910285,6.792735875945466,Rough,1506.0328008162437,340468.3202884747,255821.1169021085,20.685045666239905,0.5002490573897125,1.1391724496018871,9,95.07762794802744,2
14,2023-09-10,Fish Carrier,Coastal,Heavy Fuel Oil (HFO),Good,10.46476482591122,2638.880640093581,811.947613022577,14.637960417105754,Rough,1464.879041864805,366110.5126544004,820347.4291191308,29.39986138645217,1.0641969253635917,1.0053934796078554,8,98.93633505710022,0
15,2023-09-17,Container Ship,Coastal,Steam Turbine,Good,21.62317814103735,1428.4310652460083,75.75142284869645,11.333266263959851,Rough,1406.330010545812,19161.96077200409,86141.02852364093,46.4349558479669,1.3692746482282554,1.2901261227466878,7,71.82398246944354,2
16,2023-09-24,Bulk Carrier,Transoceanic,Steam Turbine,Good,12.273521550266205,2033.380078748794,1749.2105547461108,11.532774873547378,Rough,917.4485898718826,52395.7942058148,389110.9513747528,60.06490294178755,0.6591237041054798,0.9810814841499744,3,95.58758199317964,1
17,2023-10-01,Bulk Carrier,Short-haul,Heavy Fuel Oil (HFO),Good,17.630266891957305,1545.505434548327,1106.014823780009,11.100253506364057,Calm,589.408889665297,445319.1832635583,879536.5358818267,59.73331742552357,0.9365053446081728,0.7730297305772449,7,65.1230581751585,0
18,2023-10-08,Container Ship,Short-haul,Diesel,Good,10.00701369970679,1303.6522617059304,579.1267039225659,13.575890009792204,Moderate,732.8617425557297,454071.9626302104,799944.9044064017,32.306749952626866,0.1315526467887498,0.9207967664200056,5,75.80116263422613,2
19,2023-10-15,Container Ship,Long-haul,Steam Turbine,Critical,12.194347251304912,1783.8798339056937,1701.2191520879223,11.511034876162157,Rough,641.0907077545505,440559.16063421307,87006.39712253519,63.25625665869143,1.3624547417306054,1.1915001193906487,4,73.6488259273494,0
20,2023-10-22,Container Ship,Coastal,Diesel,Good,15.100441774719696,1909.9641487920908,125.47180184694592,9.40307438231028,Moderate,395.92059035233336,445713.0390511809,684643.2942007773,44.715684472869306,0.4907035028129336,1.429355066043479,3,88.08750153604045,2
21,2023-10-29,Fish Carrier,Long-haul,Diesel,Fair,19.69600943262046,2942.794518619636,1519.4879039747664,10.765374062733075,Calm,1692.474990569256,270743.38245166023,649130.4592857801,59.352889682811686,1.291521255982462,1.0715130669119022,5,82.18753495243385,0
22,2023-11-05,Fish Carrier,Transoceanic,Steam Turbine,Fair,20.388007479975727,1150.60235161783,1521.1554931537023,6.853357803168394,Moderate,1546.374980409137,187763.28846482103,822059.5393089658,26.00985712450175,1.3132344417246555,1.1655700885364668,8,71.20493402971829,1
23,2023-11-12,Container Ship,Short-haul,Diesel,Fair,15.148666734976844,2336.939659593132,1534.2866415983813,14.07642085354279,Rough,1423.0989508783318,138239.3541278325,886796.7392137344,25.19629807663865,0.8089652607456936,0.5240311909694982,2,66.23101361156961,1
24,2023-11-19,Tanker,Short-haul,Steam Turbine,Fair,14.840913820634292,1632.3503803823228,1066.6388335180643,10.991145453369136,Moderate,1833.2259518370377,293424.1328095553,811208.298420938,14.40456363491078,0.3744705892158896,0.7619794739498735,1,61.75865300418141,1
25,2023-11-26,Fish Carrier,Short-haul,Heavy Fuel Oil (HFO),Good,17.628956212832435,2603.2229076223207,1513.7227415783648,11.04286970593569,Calm,1874.034901384163,370954.21422879153,925753.9023049504,25.543658020406703,1.1243418130748004,0.7399311329948597,9,95.73591281783078,0
26,2023-12-03,Fish Carrier,Short-haul,Heavy Fuel Oil (HFO),Good,19.34042787130185,811.5631007043182,1746.268124329477,12.70812588879716,Rough,102.634693288479,39698.705243938064,203401.39387197144,19.493995462015832,0.9042243676934464,0.8707976912187636,2,71.09411928833585,1
27,2023-12-10,Tanker,Long-haul,Diesel,Fair,23.662891926966783,823.9126316370006,1712.0163477514188,11.891730700090378,Calm,647.8901941922146,264102.5505044308,753315.6228413706,16.730554659730263,0.419402569984373,1.0594063196644994,6,79.04943870657172,1
28,2023-12-17,Container Ship,Long-haul,Diesel,Good,22.10186021243446,2198.5197959150214,807.8552229437465,7.29003642169774,Rough,1672.5855682603546,103250.61901907634,656422.0526558639,59.983208870836776,0.6135812824484744,0.8681097937666372,4,85.22415780032324,1
29,2023-12-24,Tanker,Short-haul,Heavy Fuel Oil (HFO),Good,23.032655281532307,783.0021561878187,825.5985002059845,10.811521389888288,Calm,72.29034894550996,321539.6747509391,470427.8478374185,19.85648693997957,1.425210320700003,1.0748461069318849,8,71.7172129045504,2
30,2023-12-31,Container Ship,Coastal,Heavy Fuel Oil (HFO),Good,15.272733528851427,2247.7296623539714,1097.6618985877326,12.018384118577206,Calm,607.6036635855963,473438.53919679887,608815.8529856233,30.68019463293236,1.4941209956152557,1.0424909291921427,6,96.17643685759994,0
31,2024-01-07,Tanker,Coastal,Diesel,Critical,24.90942251012284,2273.845655728632,1880.83286366298,11.503741883352774,Calm,695.8435207278953,284929.1647316349,871104.0755294169,25.096532855487915,0.2992402387381689,1.454897479817449,9,70.07512827135648,1
32,2024-01-14,Container Ship,Coastal,Steam Turbine,Good,13.606294412960883,1699.437267239849,263.1282118726865,8.1483525358118,Calm,97.89779619235472,398162.5968487492,404318.6973848283,68.44453572578738,1.1754474161048414,0.8416137612562361,3,64.90261577455631,2
33,2024-01-21,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Critical,22.403817683113125,2365.963923505775,1078.3644152395143,13.75890711898925,Calm,1066.3185802818602,482488.70447382913,330109.89105990547,63.47158636138946,1.4378319258131198,1.3991849116115749,4,60.14790652987202,0
34,2024-01-28,Container Ship,Coastal,Steam Turbine,Good,14.431022958004837,1761.4127527196886,754.3049119121418,13.043916803981917,Calm,274.9647171705444,359137.158133567,499592.5628288343,69.80188424536348,1.375209302143002,1.4243874166891637,7,83.49368558826002,0
35,2024-02-04,Bulk Carrier,Short-haul,Diesel,Critical,12.112777056830442,2581.7647679685933,978.72090636842,12.056801336321389,Moderate,1955.587267820753,157420.94479709267,59528.08225510526,67.80709293357084,0.2312501054292488,1.4790009712291474,7,58.410392611463976,2
36,2024-02-11,Container Ship,Short-haul,Heavy Fuel Oil (HFO),Fair,11.965743274290688,1104.9441465958969,161.87171736846864,8.333380959355,Rough,760.2145878036891,439758.4560330721,102121.33686204725,15.798158604726826,0.3868199724965097,1.4781135657595088,1,69.26808473144712,2
37,2024-02-18,Container Ship,Long-haul,Steam Turbine,Fair,22.52860613257543,1987.449663386971,1584.8907061509074,12.2735028174234,Calm,1923.6533017241984,93042.07976986456,248854.09078868091,48.11850732054912,1.173346576133293,1.3320529353287225,3,64.85112727644243,0
38,2024-02-25,Fish Carrier,Transoceanic,Steam Turbine,Fair,18.5116015566522,1439.9623366192425,1412.1300646567904,8.924666645276977,Moderate,805.7280905015095,457392.36138595454,938485.3572891272,21.49250977801485,1.1882200957473406,0.745509433033572,2,83.65164445799181,0
39,2024-03-03,Bulk Carrier,Coastal,Diesel,Fair,14.174145501024697,1811.4659472155247,1024.4301346834814,12.214506412391753,Moderate,638.4927294680389,117362.41573468306,282958.02882203856,18.51414535321698,1.0532631230805385,0.9621466824365088,6,60.710420515444426,2
40,2024-03-10,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,20.803668850620426,2423.292747842718,1035.5077711160554,9.604500121570515,Rough,1270.60974486518,463392.66259673017,679149.216001373,36.54395098925683,0.1382180838477764,1.4037354198191028,9,76.7331532229326,1
41,2024-03-17,Container Ship,Short-haul,Heavy Fuel Oil (HFO),Fair,22.51264179151976,1041.1119674904526,538.5600235564107,13.815430491652103,Rough,494.5962114898372,284976.4306287131,829984.7719386272,37.93895903210422,1.2734918051293782,0.9032874981864588,1,71.6117483895519,1
42,2024-03-24,Bulk Carrier,Transoceanic,Diesel,Good,17.343314648130402,2929.168784031981,798.112322986457,11.856995582836436,Rough,268.8883070711952,465853.43725373497,732594.0623223757,12.956803769092764,0.1747412553197377,0.8218701441436483,4,80.93818266875243,0
43,2024-03-31,Bulk Carrier,Short-haul,Diesel,Fair,23.20785436509332,692.0922569438868,88.16996801616654,7.045086721234077,Rough,825.6586230236722,404216.9039340472,817040.0785131383,40.672865326006345,1.4245091429056265,0.7689728478823834,9,95.07391835121308,2
44,2024-04-07,Container Ship,Long-haul,Steam Turbine,Fair,16.31598100107746,644.4200805713172,1714.5028277346375,5.266090478232193,Moderate,1098.8367301558412,378364.91080888925,368290.7001204872,20.89346796261063,0.7228891932746034,0.5182542856373177,5,74.2225714243763,2
45,2024-04-14,Fish Carrier,Long-haul,Diesel,Good,15.38964486454386,2383.5847728898325,1451.8354196618689,5.909322431171239,Calm,1489.686268023558,187501.25773775871,112646.5644224462,23.683739920386397,1.1729815321095676,1.1615108410298731,5,60.30870328980535,0
46,2024-04-21,Tanker,Long-haul,Diesel,Critical,13.940453712608198,635.0122828590303,1431.5138745434049,5.509608436542069,Calm,279.4317590119815,482534.1840884048,307965.5204723029,47.03542239991837,0.7896802320766698,0.5053651248133317,6,64.5307448821769,2
47,2024-04-28,Container Ship,Long-haul,Heavy Fuel Oil (HFO),Critical,15.247501014454508,1689.650200279999,1208.6762228727289,11.43697766796612,Rough,322.6160229326914,242056.5917175267,639927.6247162566,12.19359624005534,0.2694166265873028,0.6416059365367712,5,98.55080312706107,1
48,2024-05-05,Container Ship,Transoceanic,Steam Turbine,Fair,22.321387448946734,2564.499156724351,1023.9603656336698,13.125933005703343,Moderate,1839.2259844330388,149506.77103038502,96524.04101130363,63.4604763548852,0.5892098537795273,0.7730316385237093,2,85.80122807044083,2
49,2024-05-12,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Critical,13.283676219559531,2077.0599898805244,1735.461363872886,14.572664618812958,Rough,462.2932242673986,400533.4796322147,846116.6022130358,30.275451940340485,0.9173925806984272,0.6453950534283096,6,99.13604915118064,0
50,2024-05-19,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Critical,14.742250149589903,2180.1752289221054,1523.558871134988,7.769102615871262,Moderate,634.6522325075825,27731.496740120678,297219.2159209804,41.26026981880516,0.8555781458308075,0.8577088301590133,4,65.11725563612973,0
51,2024-05-26,Fish Carrier,Short-haul,Diesel,Fair,12.426317312641062,2754.989318073983,1945.2035867165664,8.998433212119187,Rough,548.8912002372259,28983.921162812392,437065.8397004848,44.86377432499022,0.612689978152093,1.4403890982241712,3,92.54033787656503,0
52,2024-06-02,Bulk Carrier,Coastal,Steam Turbine,Critical,20.83290077372928,1277.5050651931504,1617.1905007528346,14.104409967254435,Rough,1087.707929178313,131707.27889002662,398247.2090444036,65.90200322747864,1.0850149231371575,1.029134851304009,9,65.8087315037763,1
53,2024-06-09,Bulk Carrier,Long-haul,Diesel,Good,15.575093369807728,1238.146337416892,1023.3115109416906,7.763163557561494,Moderate,1931.275128550649,211549.7363858681,117657.67898624433,63.44155491582223,1.2685315377666428,1.1853796900906408,1,87.1383444502577,2
54,2024-06-16,Fish Carrier,Short-haul,Heavy Fuel Oil (HFO),Fair,10.31761444043212,2745.6426807695884,459.4215809069671,8.164562404201778,Moderate,1533.4090720503416,197182.0533549439,252627.63711848293,27.70051355450707,0.5216252535601872,1.4808694522818246,6,96.19393347655308,2
55,2024-06-23,Bulk Carrier,Long-haul,Steam Turbine,Fair,13.692456965232743,2417.7491350915734,555.3288131694387,8.680461165983104,Moderate,1365.631498103856,44710.76707993124,256353.2792937133,41.1804497374512,1.2549253542559875,0.8477268767287763,8,87.84436370604507,2
56,2024-06-30,Fish Carrier,Long-haul,Steam Turbine,Fair,14.091085324497053,2695.186067091129,1339.0729746678712,9.344604969712922,Calm,1013.9445802320004,39403.54092657074,995081.538113153,36.32714095798045,1.0751922179623798,0.7997076179337257,7,53.977992246697895,0
57,2023-06-04,Fish Carrier,Short-haul,Diesel,Critical,14.538778217247732,2022.997447893341,307.2489360628627,6.399418384442399,Rough,1396.5501606685734,95878.44129588688,64807.09078018253,55.40411702982776,1.3740140564588583,0.6025111534561323,7,80.37837797603851,2
58,2023-06-11,Bulk Carrier,Short-haul,Diesel,Critical,22.259069245499777,2811.891263863636,182.61401065198265,6.534063471886721,Moderate,189.5459592670019,35967.10925740449,968577.756502486,37.410162050862446,0.4466395681783607,1.3483731821054097,2,77.48482748396103,1
59,2023-06-18,Fish Carrier,Short-haul,Heavy Fuel Oil (HFO),Critical,15.02187718841962,2216.6520343115512,1984.9184984304904,10.144822460014812,Rough,1441.270962970323,490729.5974803796,352613.2567825037,34.867306526457455,1.2517479872223294,1.0809189489767048,5,67.72620619825055,0
60,2023-06-25,Fish Carrier,Long-haul,Steam Turbine,Good,22.791341145241496,2943.5614201535286,707.0112880250898,6.121891066759537,Calm,207.24761820526896,457607.13045953686,499652.0330191968,38.62732256510944,1.403975799300064,1.2404042102559067,8,64.37183344579691,0
61,2023-07-02,Container Ship,Short-haul,Diesel,Good,22.11019716394093,651.9688968119342,1944.402076178196,7.046605230521327,Rough,1919.7189049203137,349296.9985326802,710637.3903643258,12.354852164431808,0.2343890328819568,0.9470466131881692,3,69.42999962626554,1
62,2023-07-09,Tanker,Short-haul,Diesel,Fair,18.18053381491369,762.1508437007489,1338.273238093663,14.978946468836426,Calm,338.0703722378876,482772.4758218731,892619.5830395082,46.00010717264879,0.9431302839618024,1.328672403712804,2,64.19049257235494,0
63,2023-07-16,Container Ship,Short-haul,Diesel,Critical,10.683397550625166,2695.4853182329325,1068.4955720841797,8.73246364998528,Moderate,1838.121859413576,55943.83690089675,918139.2624526236,17.34671050878493,0.8771562361831429,0.6329548589542323,7,77.70703505864992,0
64,2023-07-23,Tanker,Long-haul,Diesel,Critical,12.631001922382534,1914.5531366458108,1945.246380596584,5.924147126416045,Moderate,1571.8867487161756,30437.41226012448,825191.141813727,41.02279388939475,1.0073074205713235,0.7319847357858483,8,71.61892657220879,1
65,2023-07-30,Fish Carrier,Short-haul,Steam Turbine,Critical,19.285206764508587,1276.5430465093611,231.3715896860208,12.848993590546115,Calm,710.634390714885,97066.46949739147,346176.715752039,54.150146327417445,0.9867269891336462,1.27141245887986,6,77.56851395326466,2
66,2023-08-06,Bulk Carrier,Long-haul,Diesel,Good,20.86981405267435,751.8548365897952,1903.5006974786172,9.650972834063053,Calm,1652.6827440066422,191320.13053560787,502905.2567743272,26.234695364822286,1.1783292051080816,1.0572388943325062,8,90.88578629396368,1
67,2023-08-13,Bulk Carrier,Long-haul,Diesel,Fair,19.57422018287494,1779.0744102979463,1872.8853416169463,13.15232530151691,Rough,383.2737903758533,193696.2777050492,693586.4935666912,14.694349885147023,1.0803832812783103,1.3840607930865572,3,85.92216648251399,0
68,2023-08-20,Fish Carrier,Short-haul,Steam Turbine,Good,19.416305290138588,1244.2485440014718,703.1705751224052,14.958261144134,Rough,754.3745228918738,428053.096973177,60438.09998021241,25.39589720389892,1.1891479286017428,1.1961558782007673,3,99.49619463250696,2
69,2023-08-27,Tanker,Long-haul,Heavy Fuel Oil (HFO),Critical,14.475400206996396,1714.9200569609866,825.7082485652248,10.244408545749078,Moderate,1471.241978729115,223343.5178169016,91586.48381015004,53.69856959330137,0.5047742993656106,1.2187961546042645,3,72.46231405711589,2
70,2023-09-03,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,15.550083235905856,592.0946243124573,1298.520502169352,12.599945550964518,Rough,1927.0858105864488,97830.46705382572,650291.6403713124,19.072601152739768,0.8226168463945664,1.480052856627376,5,56.826789064147846,1
71,2023-09-10,Bulk Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,16.21266736094605,808.2492913494427,1780.1052754970212,10.732950334222831,Moderate,65.5134799306078,88235.20020042964,798157.3992244812,20.745022738849773,0.1036086049025185,0.7150171509906915,9,90.74840317908486,1
72,2023-09-17,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Fair,12.882182501180075,1216.8441639115938,838.118883678352,6.530766534221426,Calm,681.0458402144027,326448.8431850884,264891.0908690797,23.561349502042752,1.0964412591764647,0.5063116947977958,2,87.28265516174667,2
73,2023-09-24,Fish Carrier,Short-haul,Steam Turbine,Critical,23.635434003640167,1278.4452252784668,1330.3595717586932,5.131490975069713,Moderate,566.1908061197428,183706.78123928505,949176.2853869376,57.29710998296398,0.1322483749852354,1.4321257617910486,6,92.1317892910924,1
74,2023-10-01,Bulk Carrier,Transoceanic,Steam Turbine,Critical,20.65527642659276,660.2290526838906,172.22694009131936,13.18667231087402,Moderate,1578.2755939629526,377587.0212443371,613338.0268942985,26.66362170469168,0.2009631024949313,1.4406625576363787,3,94.34900318934903,2
75,2023-10-08,Tanker,Long-haul,Heavy Fuel Oil (HFO),Critical,20.548061844743074,2082.883918221112,420.2361516220712,6.196015034643474,Moderate,1894.617115003748,339888.5343967107,735539.3431718384,22.675575847908718,1.4512463654195462,0.8732560153622225,7,62.63061083091459,0
76,2023-10-15,Fish Carrier,Coastal,Heavy Fuel Oil (HFO),Fair,19.39965957431663,1625.7355687153467,1899.7209343966765,13.374228863090446,Rough,1968.1196382064948,305260.4354364541,84877.77600160104,44.46160977695417,0.3714991969579728,0.5421554985984607,5,57.22335473584648,2
77,2023-10-22,Tanker,Long-haul,Heavy Fuel Oil (HFO),Good,12.646738058659194,775.1462880643055,1606.8461198221637,9.85884022252948,Rough,1863.708944821748,194386.38747610152,353266.7349444695,65.6695736945918,0.1690124936522932,1.1599599445088145,6,64.03834442645231,1
78,2023-10-29,Tanker,Short-haul,Steam Turbine,Critical,24.066502076204483,862.0870024999742,231.54654573113683,5.289558511101058,Rough,640.5062436862928,91909.90244196211,344712.8465592452,34.33236678031612,0.642343920112229,1.3490675420604887,7,51.24400936564542,2
79,2023-11-05,Fish Carrier,Short-haul,Heavy Fuel Oil (HFO),Critical,13.469934717401454,947.6085959204096,1938.8742463333144,8.762394578654064,Moderate,1074.139891006873,366015.4828057286,661033.13611743,21.663167573274343,1.257961658288179,0.8291226073700921,7,56.0560527983936,0
80,2023-11-12,Fish Carrier,Coastal,Steam Turbine,Critical,16.30077522128099,2456.250901110101,382.2440028527148,7.318034927955717,Moderate,441.6646423913877,438478.7773216634,299877.7682158421,71.85747589813715,1.2338992034900895,0.6899753801077918,1,84.3628002461312,2
81,2023-11-19,Container Ship,Transoceanic,Heavy Fuel Oil (HFO),Fair,20.890805758085847,1996.0560027799163,1048.3194505115368,11.45804409411762,Calm,1068.4048329970428,78397.99315803061,913796.2874494022,44.91535053476613,1.154184925355552,0.6763276324193706,1,73.81290222353104,1
82,2023-11-26,Bulk Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,19.823122529584246,2886.470429581218,1964.8473756539524,10.156385531282748,Calm,1808.311801428132,182985.08097146705,73254.23325416008,35.602939333931246,1.2040953616099077,0.6406892707509277,1,60.679527652581015,0
83,2023-12-03,Container Ship,Long-haul,Heavy Fuel Oil (HFO),Good,16.621322291809406,2193.506614089388,856.7363983433854,10.809572225807903,Moderate,706.8642805598846,72223.84814586991,501874.93829370633,29.387357488944684,0.1679613410071926,1.4348012659584968,6,77.8388049304905,1
84,2023-12-10,Fish Carrier,Coastal,Steam Turbine,Fair,18.400118093273598,756.1485334587233,1125.7166343548074,6.151279993501294,Moderate,1572.2979125519605,239106.66220249343,850649.7565020939,18.841549488115238,0.944878934928408,1.1783523183974325,8,94.2460891337479,1
85,2023-12-17,Tanker,Long-haul,Diesel,Good,19.48479283794005,2246.7781863250566,507.7781487176868,14.789642323043982,Moderate,1279.8596144767646,50302.21853276465,791710.1813275182,43.20814526544106,1.0933615525759008,0.558618682983082,3,79.79420489392523,1
86,2023-12-24,Tanker,Coastal,Steam Turbine,Good,22.69182466171353,2749.00246572001,1251.76563818062,10.661490433877606,Rough,1787.5414705216583,304150.6599495725,353448.4394162663,15.610563471105264,0.8550158012135508,1.3431055507916163,6,70.75325256255438,0
87,2023-12-31,Fish Carrier,Coastal,Diesel,Good,12.939743569665248,1974.8150462339077,296.9362000725828,5.769552791629625,Rough,1964.969803776227,207996.3050891949,904431.5619996362,33.07924848761364,0.6063535267657599,1.275528282010034,9,88.06843957323846,1
88,2024-01-07,Bulk Carrier,Transoceanic,Diesel,Good,17.041558301104974,2880.362297121244,1267.4233324523682,9.337396262491636,Calm,1719.6462913644507,39178.84417870322,791863.2681989815,14.483221347638445,0.1228044126948787,0.860864265588649,4,99.7251406494808,1
89,2024-01-14,Container Ship,Transoceanic,Diesel,Critical,15.908304956974884,967.5068984254102,1448.4872087031035,14.537246565599984,Rough,567.9471095357774,444508.0698678967,603902.9262272498,68.97999519919836,0.8804661382292487,1.439697326334966,4,92.36633179007704,0
90,2024-01-21,Bulk Carrier,Coastal,Steam Turbine,Good,10.922408522209135,1384.4435353632482,1457.947052943988,12.20878275135112,Calm,446.5122117057379,73809.81302419031,966978.4211495012,27.814906321863944,1.01949777989631,1.4074287059888682,3,98.1788506499131,1
91,2024-01-28,Bulk Carrier,Transoceanic,Steam Turbine,Good,17.923344525073922,1825.595530893639,1638.7067257023325,10.569698555292195,Rough,850.1844504599333,329064.82466595154,243872.55842491216,15.760132435563587,0.9681793632301958,1.3520528348549057,6,70.14553375820975,0
92,2024-02-04,Fish Carrier,Short-haul,Diesel,Good,13.561624074357711,2564.2041590168537,1602.7790751504035,10.427844020165262,Rough,1689.7939702058782,322148.21179829806,226659.4594963782,12.144967736142643,0.3428842747714434,0.5206469647915464,5,67.82126750001817,0
93,2024-02-11,Fish Carrier,Long-haul,Diesel,Critical,21.5305751339329,1729.6702947767835,634.0664009363637,7.733387934083104,Moderate,1928.4760430242995,241542.2427128087,834187.0882377127,17.17967056874476,0.526308581306557,1.3386548167668968,3,89.70607643960722,1
94,2024-02-18,Fish Carrier,Long-haul,Diesel,Critical,15.177998149221503,1293.6132822992577,1197.599099696033,8.45113263070726,Rough,251.29757455995767,71637.56110349241,177965.24784439802,38.88397968050231,0.2185012223555816,0.6758242932959562,7,63.97927786277634,2
95,2024-02-25,Fish Carrier,Long-haul,Diesel,Critical,23.39127944513857,2062.4383730741947,1779.9526089953076,14.3470224493884,Moderate,1292.2520395377053,319403.7936750181,557690.5069157231,37.909899034203605,1.3591247076376365,1.250106343630971,7,67.4919934117745,0
96,2024-03-03,Container Ship,Coastal,Diesel,Good,13.639856165945062,1597.9941537010411,787.1135173312018,14.207901162894462,Rough,146.43555825940302,339189.6411602744,429691.2877444552,35.73370819382616,0.6139970716748926,0.5653236046050081,2,85.67806535349206,2
97,2024-03-10,Tanker,Long-haul,Heavy Fuel Oil (HFO),Critical,20.06886662890061,2869.051339130059,1004.903628951044,11.890776355491258,Rough,222.2556692703621,143049.96586620162,840734.8868799609,27.18691321407669,0.4335990355600807,1.1868108364497638,1,81.70265323016744,1
98,2024-03-17,Container Ship,Transoceanic,Steam Turbine,Critical,11.194923616349447,2608.3512923084854,1628.664021779817,5.9551776350221965,Calm,1481.0264176767255,207071.199863502,894158.002718087,52.87957202999811,1.1683202080655704,1.1540297285794998,1,51.04066974454738,0
99,2024-03-24,Bulk Carrier,Short-haul,Steam Turbine,Critical,24.11070232123141,2555.369918498154,1510.2588375283133,12.103612865142695,Calm,450.4998741786037,28086.92511277101,342621.2615473495,20.41416759921913,1.2070346019661715,1.1968238175466324,8,97.29582881845208,1
100,2024-03-31,Container Ship,Short-haul,Heavy Fuel Oil (HFO),Critical,11.428708250081645,1511.1797191909516,622.5744986170896,5.6545142471299945,Calm,1244.2215164451702,125864.44723916636,660887.1180913087,62.2874632560078,1.0574852928401357,1.1699328074906936,4,65.17740436904148,2
